Feature.ID	Taxon	Confidence	Axial_ExtractControl_CTRL_2019	GordaRidge_Vent090_T24_2019	GordaRidge_BSW020_sterivex_2019_REPa	GordaRidge_BSW056_sterivex_2019_REPb	GordaRidge_BSW081_sterivex_2019	GordaRidge_Plume001_sterivex_2019_REPa	GordaRidge_Plume001_sterivex_2019_REPb	GordaRidge_Plume001_T0_2019_REP12	GordaRidge_Plume001_T0_2019_REP34	GordaRidge_Plume001_T24_2019_REP12	GordaRidge_Plume001_T36_2019_REP12	GordaRidge_Plume036_sterivex_2019_REPb	GordaRidge_Plume096_sterivex_2019	GordaRidge_Shipblank_CTRL_2019_S31	GordaRidge_Shipblank_CTRL_2019_S32	GordaRidge_Shipblank_CTRL_2019_S33	GordaRidge_Vent009_SUPRS1_2019	GordaRidge_Vent010_SUPRS2_2019	GordaRidge_Vent011_SUPRS3_2019	GordaRidge_Vent013_T0_2019_REP13	GordaRidge_Vent013_T36_2019_REP12	GordaRidge_Vent013_T36_2019_REP34	GordaRidge_Vent039_SUPRS1_2019	GordaRidge_Vent040_SUPRS2_2019	GordaRidge_Vent041_SUPRS3_2019	GordaRidge_Vent043_T0_2019_REP13	GordaRidge_Vent043_T36_2019_REP13	GordaRidge_Vent086_SUPRS1_2019	GordaRidge_Vent087_SUPRS2_2019	GordaRidge_Vent088_SUPRS3_2019	GordaRidge_Vent105_SUPRS9_2019	GordaRidge_Vent106_SUPRS10_2019	GordaRidge_Vent107_SUPRS11_2019	GordaRidge_Vent110_T24_2019
19d81eb4495a184173f02ff7443e6fc5	Eukaryota	0.999999999999938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
95b5958b539724b3aab1aa85b4190cec	Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Prasiolales_X;Pseudochlorella;Pseudochlorella_sp.;	0.776382138976167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
fe31de103b367359497591f4837d7915	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae	0.81944973073108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
1878df977ae54075b58de2d3e1236904	Eukaryota	1.00000000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
7c4245e85623814bb561d5cad84bacc3	Eukaryota	1.00000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
aff3bcf4cfa2a1d3cd3603f90e52ac44	Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Erinaceusyllis;Erinaceusyllis_bidentata;	0.885766205099357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
c973e16a0b86683efb7c4133694ef711	Eukaryota;Rhizaria;Radiolaria;Polycystinea;Spumellarida;Spongodiscidae-Coccodiscidae;Hexacontium;Hexacontium_pachydermum;	0.975093769547265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
fcf5d362d9fe721adb417cf4d6720337	Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda	0.996057565635039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
7833c9ed0cbd9d1c6bd30caabc49b270	Eukaryota	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
079ea9dbe1d54935548dfe71c5ff9a43	Eukaryota	0.999999999999942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
